flowchart TD
I looked-->COMMENT: Missing
COMMENT: Missing-->I will
I will-->I will
I will-->Merge Data.
Merge Data.-->Created sealer_requirements.csv
Created sealer_requirements.csv-->GPT4-ADA INPUT"Need
GPT4-ADA INPUT"Need-->ERROR Should
ERROR Should-->Starting new
Starting new-->Spent 1hr
Spent 1hr-->I am
I am-->I can
I can-->Reviewing progress
Reviewing progress-->DEVELOPMENT PHASE
DEVELOPMENT PHASE-->Begin converting
Begin converting-->IB Detailed
IB Detailed-->Rearranged IC
Rearranged IC-->I am
I am-->Generating comments
Generating comments-->Generating README.md
Generating README.md-->Generating Mermaid
